GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
admin-service,com.smartcourier.admin.controller,AdminController,0,73,0,0,0,15,0,7,0,7
admin-service,com.smartcourier.admin.service,AdminService,44,122,0,0,8,26,4,9,4,9
admin-service,com.smartcourier.admin,AdminServiceApplication,5,3,0,0,2,1,1,1,1,1
admin-service,com.smartcourier.admin.config,FeignClientInterceptor,49,3,6,0,12,1,4,1,1,1
admin-service,com.smartcourier.admin.config,RoleHeaderFilter,40,3,6,0,9,1,4,1,1,1
admin-service,com.smartcourier.admin.config,SecurityConfig,0,130,0,0,0,22,0,5,0,5
admin-service,com.smartcourier.admin.config,OpenApiConfig,0,42,0,0,0,11,0,3,0,3
admin-service,com.smartcourier.admin.exception,GlobalExceptionHandler,12,54,0,0,2,12,1,5,1,5
admin-service,com.smartcourier.admin.exception,CustomAdminException,4,0,0,0,2,0,1,0,1,0
admin-service,com.smartcourier.admin.messaging,ClaimEventProducer,0,26,0,0,0,7,0,2,0,2
admin-service,com.smartcourier.admin.messaging,RabbitMQConfig,0,36,0,0,0,8,0,6,0,6
